Designator,Footprint,Quantity,Value,LCSC Part #
D201,ASMBMTB00A3A2,1,ASMB-MTB0-0A3A2,
J102,Jack_XLR_Neutrik_NC3FAAH2_Horizontal,1,NC3FAAH2,
J104,Jack_XLR_Neutrik_NC3MAAH_Horizontal,1,NC3MAAH,
J105,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J201,OLED_1.3,1,Conn_01x04_Pin,
L101,L_Bourns_SRP7028A_7.3x6.6mm,1,6u8H,
"PS101, PS102",Converter_DCDC_TRACO_TEA1-xxxxE_THT,2,TEA_1-0505,
R114,0402,1,DNP,
R134,0402,1,DNP,
"TP101, TP102, TP103",TestPoint_Pad_D1.5mm,3,TestPoint,
U101,MODULE_TIMOTWO,1,TIMOTWO,
U201,PEC12R-4XXXF-SXXXX,1,PEC12R-4215F-S0024,
