Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102, C104, C106, C113, C114",0402,6,100nF,C1525
"C103, C110, C111, C112",1206,4,22uF,C12891
C105,0603,1,1uF,C15849
C107,0603,1,10uF  (50V),C96446
C108,0402,1,100nF  (50V),C1525
C109,0603,1,100pF,C14858
C117,1206,1,DNP,C12891
"D102, D103",D_SOD-323,2,D,C191023
D201,ASMBMTB00A3A2,1,ASMB-MTB0-0A3A2,
FB102,0805,1,FerriteBead,C1015
IC101,ESP32S3WROOM1UN4R2,1,ESP32-S3-WROOM-1U-N4R2,C3013942
"J101, J106",AFC07S16FCC00,2,AFC07-S16FCC-00,C11053
J102,Jack_XLR_Neutrik_NC3FAAH2_Horizontal,1,NC3FAAH2,
J103,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C165948
J104,Jack_XLR_Neutrik_NC3MAAH_Horizontal,1,NC3MAAH,
J105,PinHeader_1x02_P2.54mm_Vertical,1,Conn_01x02_Pin,
J201,OLED_1.3,1,Conn_01x04_Pin,
L101,L_Bourns_SRP7028A_7.3x6.6mm,1,6u8H,
Q101,DMTH8008LFGQ7,1,DMP4025SFGQ-13,C461091
Q102,SOT-23,1,AO3400A,C20917
"R101, R102, R111, R112",0402,4,4k7,C25900
R103,0603,1,120R (1%),C22787
"R104, R105",0603,2,560R (1%),C23204
"R106, R206",0402,2,0R,C17168
"R107, R110, R113, R121, R122, R124, R126, R127, R136, R205, R207, R208",0402,12,10k,C25744
"R108, R109",0603,2,27,C25190
R114,0402,1,DNP,
R115,0402,1,100k (1%),C25741
R116,0603,1,2R,C22977
"R117, R118",0402,2,47k (1%),C25792
"R119, R120",0402,2,5k1 (1%),C25905
R123,0603,1,120R,C22787
R125,0603,1,10R (1%),C22859
"R132, R137, R138, R139, R140",0402,5,49R9,C25120
R133,0402,1,33k,C25779
R134,0402,1,DNP,
R135,0402,1,51k,C25794
"R209, R210, R211",0603,3,150,C22808
"S101, S102, S201, S202, S203",TS1187ABAB,5,TS-1187A-B-A-B,C318884
"TP101, TP102, TP103",TestPoint_Pad_D1.5mm,3,TestPoint,
U101,MODULE_TIMOTWO,1,TIMOTWO,
U102,TSOT-23-6,1,AP63200WU,C2071868
"U103, U105",SOIC-16W_7.5x10.3mm_P1.27mm,2,ISO3088DW,C39386
U104,SOT-23-6,1,SRV05-4,C85364
"U106, U107",Converter_DCDC_TRACO_TEA1-xxxx_THT,2,TEA1-0505,
U201,PEC12R-4XXXF-SXXXX,1,PEC12R-4215F-S0024,
